uniprotswissprot	uniprotsptrembl	wormbase_gene
	Q22969	WBGene00001721
	O16295	WBGene00001722
	A0A163VU65	WBGene00001722
	Q9XTY2	WBGene00001723
	H9G339	WBGene00001723
	H9G338	WBGene00001723
	Q9XW83	WBGene00001724
	Q9N2Z3	WBGene00001725
	H2L083	WBGene00001725
	V6CM29	WBGene00001725
	Q18880	WBGene00001726
	O16301	WBGene00001727
	O44504	WBGene00001728
	O61832	WBGene00001729
	Q23248	WBGene00001730
	Q23137	WBGene00001731
	Q93424	WBGene00001732
	H2L2E5	WBGene00001732
	A0A1I6CMA3	WBGene00001732
	A0A1I6CM94	WBGene00001732
	A0A1I6CMA0	WBGene00001732
	A0A1I6CM96	WBGene00001732
	A0A1I6CMA4	WBGene00001732
	Q9U3J9	WBGene00001733
	G5EDQ6	WBGene00001734
	Q95X43	WBGene00001735
	Q9N5U2	WBGene00001736
	O61947	WBGene00001737
	O61948	WBGene00001738
	D6VP99	WBGene00001739
	G5EBS1	WBGene00001740
P34512		WBGene00001743
Q10039		WBGene00001744
	Q8I711	WBGene00001744
	Q7KPV0	WBGene00001745
	V6CL61	WBGene00001745
Q9U2Q9		WBGene00001746
Q27497		WBGene00001747
P48727		WBGene00001748
P10299		WBGene00001749
O16115		WBGene00001750
O16116		WBGene00001751
Q21355		WBGene00001752
Q09596		WBGene00001753
	G3MTY0	WBGene00001753
	G3MTX8	WBGene00001753
P91252		WBGene00001754
P91253		WBGene00001755
P91254		WBGene00001756
Q21743		WBGene00001757
Q9N4X8		WBGene00001758
	A0A0M7RDX7	WBGene00001758
	Q21945	WBGene00001759
	Q93695	WBGene00001760
	Q22814	WBGene00001761
	Q93696	WBGene00001762
	Q93697	WBGene00001763
	Q93698	WBGene00001764
	Q93699	WBGene00001765
	Q93700	WBGene00001766
	Q93701	WBGene00001767
	G5EC71	WBGene00001768
	O44576	WBGene00001769
	H2L0Q5	WBGene00001769
	O45387	WBGene00001770
	P91505	WBGene00001771
	Q93694	WBGene00001772
	O61750	WBGene00001773
	Q9NAB4	WBGene00001774
	Q9NAB3	WBGene00001775
	Q9NAB2	WBGene00001776
	Q9NAB1	WBGene00001777
	Q23520	WBGene00001778
	Q9NAA9	WBGene00001779
	Q9NA96	WBGene00001780
	O16198	WBGene00001781
	Q86S58	WBGene00001782
	Q8T7Z3	WBGene00001783
Q09607		WBGene00001784
	Q9BPM4	WBGene00001785
	O45451	WBGene00001786
	Q9NAB0	WBGene00001787
	O45115	WBGene00001788
	Q966G8	WBGene00001789
Q18938		WBGene00001790
	Q9N4H6	WBGene00001791
	O45352	WBGene00001792
Q9U2D9		WBGene00001793
Q21217		WBGene00001794
	N1NVC4	WBGene00001794
	G5ECM4	WBGene00001795
	Q20766	WBGene00001796
Q17990		WBGene00001803
O18280		WBGene00001804
	Q9XU57	WBGene00001805
	Q23553	WBGene00001806
	P92022	WBGene00001808
	E1B6V1	WBGene00001808
	O45278	WBGene00001811
	O02086	WBGene00001812
	O17895	WBGene00001813
	Q9TZD9	WBGene00001814
	V6CLE7	WBGene00001814
	G5EFD4	WBGene00001815
	Q9BL17	WBGene00001816
	V6CKC7	WBGene00001816
	V6CLQ7	WBGene00001816
	Q9U275	WBGene00001817
	O18227	WBGene00001818
	O44897	WBGene00001819
	Q8IA64	WBGene00001819
	G5EEC5	WBGene00001820
	A3RMS1	WBGene00001821
	H2KYH4	WBGene00001821
	A3RMS3	WBGene00001821
Q9GYG4		WBGene00001823
Q9XYD3		WBGene00001824
	Q27GU0	WBGene00001824
	G5EC23	WBGene00001827
Q21059		WBGene00001828
	O76447	WBGene00001829
	Q22257	WBGene00001830
P34470		WBGene00001831
	G5EDA3	WBGene00001832
	Q9N583	WBGene00001833
	Q95Y84	WBGene00001833
O17695		WBGene00001834
Q09440		WBGene00001835
	G5ECH0	WBGene00001836
O17323		WBGene00001837
	Q9U266	WBGene00001838
P34751		WBGene00001839
Q18212		WBGene00001840
	G5ECA8	WBGene00001841
P34704		WBGene00001842
	Q65ZB2	WBGene00001842
Q9Y041		WBGene00001843
	G5EG65	WBGene00001844
	Q7Z135	WBGene00001844
G5EGD2		WBGene00001851
	A0A0K3AXG6	WBGene00001851
Q18336		WBGene00001852
P15796		WBGene00001853
Q19743		WBGene00001854
O17536		WBGene00001855
O01833		WBGene00001856
O16277		WBGene00001857
	H2KYC7	WBGene00001858
	Q95QZ0	WBGene00001858
	Q9U3W3	WBGene00001858
	H2KYC8	WBGene00001858
	O01597	WBGene00001859
O01789		WBGene00001860
	G5EBG0	WBGene00001862
	G5ED27	WBGene00001863
	G5EG33	WBGene00001863
	A4UVK0	WBGene00001863
	G5EDG4	WBGene00001863
	O17724	WBGene00001864
	E1B6V2	WBGene00001864
O18017		WBGene00001865
	O18068	WBGene00001867
	F5GUH4	WBGene00001867
Q21952		WBGene00001869
Q23405		WBGene00001872
	Q22360	WBGene00001874
P62784		WBGene00001875
P08898		WBGene00001876
P09588		WBGene00001877
Q27894		WBGene00001878
P62784		WBGene00001879
P08898		WBGene00001880
P09588		WBGene00001881
Q27894		WBGene00001882
P08898		WBGene00001883
P62784		WBGene00001884
P04255		WBGene00001885
P09588		WBGene00001886
P08898		WBGene00001887
P62784		WBGene00001888
P04255		WBGene00001889
P09588		WBGene00001890
P08898		WBGene00001891
P62784		WBGene00001892
P09588		WBGene00001893
Q27894		WBGene00001894
P09588		WBGene00001895
Q27894		WBGene00001896
P10771		WBGene00001898
P08898		WBGene00001899
P62784		WBGene00001900
P08898		WBGene00001901
P62784		WBGene00001902
P04255		WBGene00001903
P09588		WBGene00001904
P62784		WBGene00001905
P08898		WBGene00001906
P09588		WBGene00001907
P04255		WBGene00001908
	Q27485	WBGene00001909
	Q18742	WBGene00001910
P62784		WBGene00001911
P62784		WBGene00001912
	Q22979	WBGene00001913
	K7ZUH9	WBGene00001914
Q27484		WBGene00001915
P08898		WBGene00001916
P09588		WBGene00001917
P04255		WBGene00001918
P08898		WBGene00001919
P62784		WBGene00001920
P09588		WBGene00001921
Q27876		WBGene00001922
P08898		WBGene00001923
P62784		WBGene00001924
P09588		WBGene00001925
Q27894		WBGene00001926
P09588		WBGene00001927
Q27894		WBGene00001928
P08898		WBGene00001929
P62784		WBGene00001930
P09588		WBGene00001931
	J7SA65	WBGene00001931
	J7S164	WBGene00001931
Q27876		WBGene00001932
P08898		WBGene00001933
P62784		WBGene00001934
P09588		WBGene00001935
Q27876		WBGene00001936
P08898		WBGene00001937
P62784		WBGene00001938
P09588		WBGene00001939
Q27876		WBGene00001940
P62784		WBGene00001941
P09588		WBGene00001942
Q27489		WBGene00001943
Q27490		WBGene00001944
Q10453		WBGene00001945
Q9U281		WBGene00001946
	H2L2K8	WBGene00001946
	H2L2I6	WBGene00001947
P22980		WBGene00001948
	G5EEG9	WBGene00001949
Q22717		WBGene00001950
P34555		WBGene00001951
Q10007		WBGene00001952
Q11094		WBGene00001953
	Q23579	WBGene00001954
P34474		WBGene00001955
	Q18277	WBGene00001956
Q20561		WBGene00001957
	Q09961	WBGene00001958
	Q18590	WBGene00001959
	O45320	WBGene00001960
	O45489	WBGene00001961
	Q20941	WBGene00001962
	Q18054	WBGene00001964
Q18053		WBGene00001965
	Q18056	WBGene00001966
	Q19918	WBGene00001967
	Q19917	WBGene00001968
	G5EFV4	WBGene00001971
Q09390		WBGene00001972
O01683		WBGene00001973
P41848		WBGene00001974
	Q94234	WBGene00001975
	G5EEL9	WBGene00001976
	G5EDQ2	WBGene00001977
P90947		WBGene00001978
	A5JYX3	WBGene00001978
	F5GUG3	WBGene00001978
	I7K4K5	WBGene00001978
	I7LFF2	WBGene00001978
	I7J4D2	WBGene00001978
O44326		WBGene00001979
	H2L2I2	WBGene00001979
Q967F4		WBGene00001980
	Q18612	WBGene00001981
O44476		WBGene00001983
	U4PR60	WBGene00001983
	Q23193	WBGene00001984
	H2KZR5	WBGene00001984
O02100		WBGene00001985
	G5EF85	WBGene00001986
	B5U8P6	WBGene00001986
	D5SH00	WBGene00001987
	D5SH01	WBGene00001987
	Q8T3B0	WBGene00001988
	Q8T3D0	WBGene00001989
	H2KYW7	WBGene00001989
	G5ED79	WBGene00001990
	G5EER8	WBGene00001991
	G5EBH9	WBGene00001992
Q22633		WBGene00001993
Q8MQ70		WBGene00001994
	G5EET5	WBGene00001995
	G5EDE2	WBGene00001996
	G5EFS9	WBGene00001996
	Q9U3C6	WBGene00001996
Q95Q27		WBGene00001997
	A0A1W7LFZ8	WBGene00001997
	G5EGG2	WBGene00001998
Q22037		WBGene00001999
	Q9NLD1	WBGene00002000
	B3KYC2	WBGene00002000
P34183		WBGene00002001
	Q9U3B7	WBGene00002002
P46555		WBGene00002003
	G5EFT5	WBGene00002004
P09446		WBGene00002005
P27420		WBGene00002007
	V6CJ24	WBGene00002007
P20163		WBGene00002008
	V6CL98	WBGene00002008
P11141		WBGene00002010
P34328		WBGene00002011
	Q20164	WBGene00002012
	G5EE36	WBGene00002013
P34696		WBGene00002015
P06582		WBGene00002016
	V6CLQ2	WBGene00002016
P34696		WBGene00002017
P06581		WBGene00002018
P02513		WBGene00002019
P02513		WBGene00002020
	Q20660	WBGene00002021
	Q7JP52	WBGene00002021
	Q17849	WBGene00002023
	Q86GU1	WBGene00002023
	Q5H9M9	WBGene00002023
	H2KYS1	WBGene00002024
	B0M0L8	WBGene00002024
P50140		WBGene00002025
	G8JYF5	WBGene00002025
	V6CLG8	WBGene00002025
	O45246	WBGene00002026
Q7JKP6		WBGene00002027
Q966W3		WBGene00002028
O17645		WBGene00002029
	Q9TZK5	WBGene00002030
	G5EFN7	WBGene00002031
	Q20305	WBGene00002032
	Q95XC8	WBGene00002033
	O01820	WBGene00002034
	Q19901	WBGene00002035
	Q95ZU1	WBGene00002036
	G8JY81	WBGene00002036
	Q8MYQ0	WBGene00002036
	Q8I7K3	WBGene00002036
	Q8I7K2	WBGene00002036
	A0A168H541	WBGene00002036
	A0A163UTE6	WBGene00002036
	A0A168H5A5	WBGene00002036
	A0A168H5E2	WBGene00002036
	A0A168H5H9	WBGene00002036
	Q20456	WBGene00002037
	B6VQ62	WBGene00002037
	C6KRJ0	WBGene00002037
	D3YT13	WBGene00002037
	D3YT14	WBGene00002037
	S6F568	WBGene00002037
	S6FD20	WBGene00002037
	S6EZR2	WBGene00002037
	G5ECZ0	WBGene00002038
P91443		WBGene00002039
	F0IWT2	WBGene00002040
	H2L082	WBGene00002040
	H2L0I7	WBGene00002041
	Q6EZG5	WBGene00002041
	U4PBY2	WBGene00002041
	G5EFI9	WBGene00002042
G5ED45		WBGene00002043
	X5LPS5	WBGene00002043
	X5LX61	WBGene00002043
Q7Z139		WBGene00002044
Q18885		WBGene00002045
	G5EFZ5	WBGene00002046
	G5EG22	WBGene00002046
	G5EE37	WBGene00002047
	X5M920	WBGene00002047
G5EGJ5		WBGene00002048
P90901		WBGene00002050
Q21065		WBGene00002051
P90900		WBGene00002052
Q19289		WBGene00002053
Q19286		WBGene00002054
	M1Z854	WBGene00002054
O45168		WBGene00002055
Q21067		WBGene00002056
	H2KZR4	WBGene00002056
	G8JY94	WBGene00002056
Q86DC6		WBGene00002057
Q19782		WBGene00002058
	D1MN85	WBGene00002059
O45551		WBGene00002059
Q21693		WBGene00002060
O61955		WBGene00002061
Q22888		WBGene00002062
P56570		WBGene00002063
P34563		WBGene00002064
	G1K0V8	WBGene00002064
	G1K0V9	WBGene00002064
Q20751		WBGene00002065
	Q21531	WBGene00002066
	Q7JMF0	WBGene00002066
	B5BM23	WBGene00002066
	B5BM24	WBGene00002066
Q09501		WBGene00002067
Q18235		WBGene00002068
	G5EFS1	WBGene00002069
	G5EDE8	WBGene00002070
	Q22170	WBGene00002071
Q22560		WBGene00002072
P91276		WBGene00002073
Q19969		WBGene00002074
	Q9BIB8	WBGene00002075
	O62332	WBGene00002076
	O62333	WBGene00002076
	A0A131MBF9	WBGene00002076
	Q9N5V3	WBGene00002077
	Q23089	WBGene00002078
	Q8MPS6	WBGene00002078
	Q965V4	WBGene00002079
	V6CKP0	WBGene00002079
	Q9GYQ7	WBGene00002080
	W6RQY2	WBGene00002080
	W6RY26	WBGene00002080
Q03600		WBGene00002081
P27639		WBGene00002083
	G5EFY8	WBGene00002084
Q09627		WBGene00002085
Q09628		WBGene00002086
Q09626		WBGene00002087
P56173		WBGene00002088
P56174		WBGene00002089
Q23430		WBGene00002090
	H9G2S9	WBGene00002090
	Q7YTH4	WBGene00002091
	Q7JP91	WBGene00002092
	Q7YWW0	WBGene00002093
Q18060		WBGene00002094
	Q7JP47	WBGene00002095
	Q7JP48	WBGene00002096
	Q7JP82	WBGene00002097
	Q7JP83	WBGene00002098
	Q7KX46	WBGene00002099
G5EFH1		WBGene00002100
	G5ECC6	WBGene00002101
	Q71UE4	WBGene00002102
	Q7JPJ3	WBGene00002103
Q21507		WBGene00002104
Q21508		WBGene00002105
Q21506		WBGene00002106
	Q9U1P6	WBGene00002107
	Q7JKN0	WBGene00002108
	Q9XUI9	WBGene00002109
	Q7JKM7	WBGene00002110
	Q7JKM9	WBGene00002111
	Q7JKM8	WBGene00002112
	Q9XUI8	WBGene00002113
	Q9TZF3	WBGene00002114
	Q9TYK2	WBGene00002115
	Q9U333	WBGene00002116
	Q9XUE8	WBGene00002117
	Q9XUV3	WBGene00002118
	Q7K6X2	WBGene00002119
	G2HK14	WBGene00002119
	Q9XVA1	WBGene00002120
	Q7JP45	WBGene00002121
	Q17394	WBGene00002123
	Q8IG52	WBGene00002123
Q9U3K5		WBGene00002124
Q19746		WBGene00002125
Q23027		WBGene00002127
Q9U3N4		WBGene00002128
Q21123		WBGene00002129
	V6CLI7	WBGene00002129
Q23593		WBGene00002130
	Q23594	WBGene00002131
Q22549		WBGene00002132
	Q6AHN7	WBGene00002132
Q23157		WBGene00002133
	C9IY29	WBGene00002133
O01634		WBGene00002134
	O44887	WBGene00002135
O62136		WBGene00002136
	O61786	WBGene00002137
O61787		WBGene00002138
O61788		WBGene00002139
	H2KYH7	WBGene00002140
	Q8MXG8	WBGene00002140
O61715		WBGene00002141
	P91827	WBGene00002142
	G5EGL4	WBGene00002142
	E5QCJ1	WBGene00002142
	Q9N3R4	WBGene00002143
	Q9N3R5	WBGene00002144
Q17848		WBGene00002146
	A0A2K5AU07	WBGene00002146
Q09499		WBGene00002147
	E5QCG0	WBGene00002147
	H2L033	WBGene00002148
	Q4PIU4	WBGene00002148
P52192		WBGene00002149
	H2KYE6	WBGene00002150
	D3YT08	WBGene00002150
	U4PN13	WBGene00002150
	U4PSB4	WBGene00002150
	A0A1C3NSN6	WBGene00002150
	A0A1C3NSR3	WBGene00002150
	Q93849	WBGene00002151
	A0A1C3NSR4	WBGene00002151
	A0A1C3NSK2	WBGene00002151
	A0A1C3NSS7	WBGene00002151
	A0A1C3NSL2	WBGene00002151
	A0A1C3NSP8	WBGene00002151
Q21926		WBGene00002152
	E2JL04	WBGene00002153
	O44512	WBGene00002162
	A0A1C3NSK8	WBGene00002163
	Q18820	WBGene00002163
P41877		WBGene00002169
Q9Y0A1		WBGene00002173
	O45000	WBGene00002174
	H1ZUX6	WBGene00002174
	A0A078BS63	WBGene00002174
	A0A078BPL3	WBGene00002174
	A0A078BPJ4	WBGene00002174
Q9U308		WBGene00002175
	D3DEL7	WBGene00002175
	D3DEL8	WBGene00002175
	A0A078BS85	WBGene00002175
	A0A078BPN7	WBGene00002175
	A0A078BPM1	WBGene00002175
	A0A078BQQ1	WBGene00002175
	G4RZC8	WBGene00002176
	G4RZC9	WBGene00002176
	O16643	WBGene00002176
G5EDT6		WBGene00002177
Q8WQG9		WBGene00002178
	Q22667	WBGene00002179
	Q9N4B5	WBGene00002180
	G5EDX1	WBGene00002181
	H2KZP1	WBGene00002182
	G5EEE6	WBGene00002182
Q22100		WBGene00002183
	G5EGS4	WBGene00002184
	B7WN97	WBGene00002184
	O18147	WBGene00002185
	Q8WQC4	WBGene00002185
P34569		WBGene00002186
O44408		WBGene00002187
	H2KZI0	WBGene00002188
P21137		WBGene00002189
	A0A2X0T496	WBGene00002189
P30625		WBGene00002190
P18334		WBGene00002191
	G5EFA4	WBGene00002192
	D3KFW7	WBGene00002192
	G5EG63	WBGene00002192
	G5EBW1	WBGene00002192
	H9G329	WBGene00002192
	H9G330	WBGene00002192
	H9G328	WBGene00002192
	H9G331	WBGene00002192
	A0A061AKZ2	WBGene00002192
	G5EC46	WBGene00002193
	Q8I4A8	WBGene00002194
	H2KZN3	WBGene00002195
	H2KZN4	WBGene00002195
	F3NWW5	WBGene00002195
P28548		WBGene00002196
	Q19726	WBGene00002198
P34891		WBGene00002199
	Q8T8M7	WBGene00002199
P34892		WBGene00002200
P46549		WBGene00002201
P42168		WBGene00002202
Q20471		WBGene00002203
	H9G2V4	WBGene00002203
	G5EBM6	WBGene00002204
	O18174	WBGene00002205
	D6R8W4	WBGene00002206
Q10925		WBGene00002207
	Q22245	WBGene00002208
Q21017		WBGene00002210
	O17955	WBGene00002211
Q95YD4		WBGene00002213
	Q21592	WBGene00002214
	H9G2T2	WBGene00002214
P46822		WBGene00002215
P45962		WBGene00002216
	Q20888	WBGene00002217
	Q8MQ20	WBGene00002217
	Q8IG10	WBGene00002217
	G5EFQ4	WBGene00002218
	Q9XU12	WBGene00002219
	G5ED75	WBGene00002219
	Q18013	WBGene00002220
	Q19633	WBGene00002222
	B3GWB6	WBGene00002222
	B3GWB7	WBGene00002222
	E5QCG4	WBGene00002222
	G5EGS3	WBGene00002223
	G5EFJ0	WBGene00002223
	B3GWD7	WBGene00002223
	Q9NDT1	WBGene00002224
	F5GU55	WBGene00002224
	H2KYL6	WBGene00002224
	P91400	WBGene00002225
	G5ECC0	WBGene00002226
	Q23124	WBGene00002227
	G5EBX0	WBGene00002228
	O45935	WBGene00002229
Q965T6		WBGene00002230
P34278		WBGene00002231
O17798		WBGene00002232
	G5EDN5	WBGene00002233
	Q8MQC5	WBGene00002233
	Q9GYM8	WBGene00002234
	Q9XWG9	WBGene00002235
	B7FAS2	WBGene00002235
	G5EE44	WBGene00002235
Q22099		WBGene00002238
	Q95ZQ3	WBGene00002238
	Q2XN16	WBGene00002238
G5EFD2		WBGene00002239
G5EDA5		WBGene00002240
P34705		WBGene00002241
	H2KZE7	WBGene00002242
	Q7JPF0	WBGene00002242
	H2KZE8	WBGene00002242
	G5ECX2	WBGene00002243
	H2L0R2	WBGene00002243
D0PV95		WBGene00002244
	G5EDU7	WBGene00002245
	Q8MXE7	WBGene00002245
	V6CK60	WBGene00002245
	V6CLJ5	WBGene00002245
P45442		WBGene00002246
	O44565	WBGene00002247
	V6CIX7	WBGene00002247
	G5ECE3	WBGene00002248
P34629		WBGene00002249
Q27245		WBGene00002250
G5EDW2		WBGene00002251
G5ECX0		WBGene00002252
Q20223		WBGene00002253
Q20224		WBGene00002254
Q20222		WBGene00002255
	Q27GU2	WBGene00002255
Q23092		WBGene00002256
O01814		WBGene00002257
O01812		WBGene00002258
O02323		WBGene00002259
	O02324	WBGene00002260
	G5EEL0	WBGene00002261
	Q8I4H8	WBGene00002261
	Q9U3E2	WBGene00002261
Q27888		WBGene00002262
	A0A2C9C320	WBGene00002262
	G5EFU3	WBGene00002263
	G5EDH9	WBGene00002263
	G5EGB8	WBGene00002263
	G5EBW6	WBGene00002263
	F5GUH5	WBGene00002263
	G5EEF0	WBGene00002263
	H2FLK5	WBGene00002263
	H2FLK3	WBGene00002263
	H2FLK7	WBGene00002263
	H2FLK9	WBGene00002263
	H2FLL1	WBGene00002263
	H2FLK8	WBGene00002263
	H2FLK4	WBGene00002263
	H2FLK6	WBGene00002263
	H2FLL0	WBGene00002263
P36573		WBGene00002264
	O45904	WBGene00002264
	Q20684	WBGene00002265
	G5EGB1	WBGene00002265
Q09581		WBGene00002266
	Q95ZI4	WBGene00002266
	Q8I4A5	WBGene00002266
	Q8I4A4	WBGene00002266
	Q8I4A3	WBGene00002266
	I2HAG1	WBGene00002266
	Q18625	WBGene00002267
	G5EFI4	WBGene00002268
	Q9N384	WBGene00002269
Q09605		WBGene00002270
Q09610		WBGene00002271
	G5EC10	WBGene00002272
	G5EBV4	WBGene00002273
	Q94215	WBGene00002274
Q9XTB5		WBGene00002275
G5EGA3		WBGene00002276
	Q9N373	WBGene00002278
	H2L0R6	WBGene00002278
P17140		WBGene00002280
Q93373		WBGene00002282
Q93442		WBGene00002295
	Q22590	WBGene00002297
	Q9U364	WBGene00002297
P24348		WBGene00002299
	B5BM28	WBGene00002299
	B5BM27	WBGene00002299
	A0A0K3AX35	WBGene00002299
Q95Q17		WBGene00002324
P22981		WBGene00002335
P35129		WBGene00002344
P02567		WBGene00002348
G5EGK8		WBGene00002363
Q21341		WBGene00002368
	G5EEP5	WBGene00002393
	V6CLX5	WBGene00002393
	V6CJJ4	WBGene00002393
	V6CKQ7	WBGene00002393
	B6DX32	WBGene00002393
	B6DX33	WBGene00002393
Q20679		WBGene00002497
Q95Q95		WBGene00002583
	P91278	WBGene00002601
O61967		WBGene00002632
G5EBZ4		WBGene00002637
P92199		WBGene00002694
	Q966L6	WBGene00002696
	P91019	WBGene00002717
	Q86ND1	WBGene00002717
	J7SA49	WBGene00002717
	X5M5M2	WBGene00002717
	O44743	WBGene00002783
	Q9N584	WBGene00002804
Q27394		WBGene00002827
	Q20937	WBGene00002845
	A0A1D3PCM5	WBGene00002845
	A0A1D3PCL8	WBGene00002845
	S5ZDJ9	WBGene00002845
	A0A1D3PCL9	WBGene00002845
	Q18038	WBGene00002850
Q11190		WBGene00002855
P34346		WBGene00002879
Q11184		WBGene00002881
	O01737	WBGene00002889
Q09517		WBGene00002891
	C1P622	WBGene00002891
	S6FCZ1	WBGene00002891
	Q9UB29	WBGene00002915
	Q9UB28	WBGene00002915
	Q9BKP3	WBGene00002915
	H2L0C1	WBGene00002915
Q17336		WBGene00002957
Q27218		WBGene00002974
	C6KRN0	WBGene00002974
	Q93329	WBGene00002975
Q22328		WBGene00002976
	A0A1N7SYU8	WBGene00002976
	A0A1N7SZ15	WBGene00002976
	G5EDX3	WBGene00002977
	G5EER3	WBGene00002977
	C0Z3M3	WBGene00002977
Q22866		WBGene00002978
Q27249		WBGene00002978
	K8FDX2	WBGene00002978
	K8ESC3	WBGene00002978
	K8ERM4	WBGene00002978
	A0A0K3ARB5	WBGene00002978
	A0A0K3ATR6	WBGene00002978
	A0A0K3AQS9	WBGene00002978
	A0A0K3AUC0	WBGene00002978
	A0A0K3AWP0	WBGene00002978
	A0A0K3ARC0	WBGene00002978
	A0A0K3ATS1	WBGene00002978
	A0A0K3AQT4	WBGene00002978
	A0A0K3AUC2	WBGene00002978
	A0A1Q2U2F4	WBGene00002978
Q95Q62		WBGene00002979
Q09490		WBGene00002980
Q23536		WBGene00002981
	E2JKY9	WBGene00002981
	Q10931	WBGene00002982
	H2KZ94	WBGene00002983
	D7SFK4	WBGene00002983
Q27474		WBGene00002985
	Q95YE6	WBGene00002986
	G5EEA1	WBGene00002987
	A0A1X7RC92	WBGene00002987
	A0A1X7RBW0	WBGene00002987
	G4RV72	WBGene00002988
	Q21192	WBGene00002988
	G5EC36	WBGene00002989
	G5EDL0	WBGene00002990
	U4PLN0	WBGene00002990
P54936		WBGene00002991
Q03345		WBGene00002992
	A0A061AEC4	WBGene00002992
	A0A061AD43	WBGene00002992
P45970		WBGene00002994
	A5PEX5	WBGene00002996
	Q9U245	WBGene00002996
G5EDW7		WBGene00002997
P30630		WBGene00002998
O17583		WBGene00002999
	B3WFX4	WBGene00002999
P20154		WBGene00003000
P14585		WBGene00003001
Q11107		WBGene00003002
Q21446		WBGene00003003
	G5EDV1	WBGene00003006
	Q95Y45	WBGene00003006
	A0A078BS14	WBGene00003006
G5EGT9		WBGene00003007
	G5EF76	WBGene00003008
Q09990		WBGene00003009
	A0A0K3AUM4	WBGene00003009
	A0A0K3AWY7	WBGene00003009
	A0A0K3ARM6	WBGene00003009
	Q17410	WBGene00003010
	E5QCG5	WBGene00003010
	E5QCG6	WBGene00003010
Q10573		WBGene00003011
Q27355		WBGene00003012
	U4PFD0	WBGene00003012
	U4PC59	WBGene00003012
	A0A2C9C321	WBGene00003012
P92186		WBGene00003014
	G5EGB2	WBGene00003015
	G5EGU6	WBGene00003015
	E6N0V9	WBGene00003015
P34683		WBGene00003017
Q10574		WBGene00003018
	Q9TYQ5	WBGene00003019
	V6CIT4	WBGene00003019
G5EDT1		WBGene00003020
P34427		WBGene00003021
	Q23482	WBGene00003022
P34684		WBGene00003024
	O61907	WBGene00003025
	Q76NP4	WBGene00003025
	Q86S28	WBGene00003025
	A0A168H9W7	WBGene00003025
Q9U489		WBGene00003026
Q27886		WBGene00003029
Q07292		WBGene00003030
	V6CJK3	WBGene00003030
	V6CKR7	WBGene00003030
	V6CM38	WBGene00003030
	V6CM34	WBGene00003030
	G5EF06	WBGene00003031
	G5EDU6	WBGene00003033
Q20318		WBGene00003034
Q10120		WBGene00003035
	G3MTX2	WBGene00003035
P90916		WBGene00003036
Q95QD7		WBGene00003037
Q09377		WBGene00003038
O44757		WBGene00003040
B2D6M2		WBGene00003041
V6CIV8		WBGene00003043
	Q9Y050	WBGene00003044
	G5EBR0	WBGene00003044
	Q8I7K9	WBGene00003044
	H2KYA2	WBGene00003044
	Q27GT8	WBGene00003044
	U4PCI9	WBGene00003044
	U4PMY5	WBGene00003044
	U4PS83	WBGene00003044
	U4PFD5	WBGene00003044
	U4PC65	WBGene00003044
	U4PCJ3	WBGene00003044
	U4PMZ1	WBGene00003044
	U4PS88	WBGene00003044
	U4PFE1	WBGene00003044
	Q9Y049	WBGene00003045
	G5EGH3	WBGene00003045
O17862		WBGene00003046
Q9NDC9		WBGene00003047
Q9U9Y8		WBGene00003048
Q21443		WBGene00003052
Q11117		WBGene00003053
Q09566		WBGene00003055
	H2L058	WBGene00003055
	Q8MQ33	WBGene00003055
	Q18530	WBGene00003056
Q23628		WBGene00003057
Q09624		WBGene00003058
	Q8IG68	WBGene00003059
	A0A0K3ATS5	WBGene00003060
	A0A0K3AQT9	WBGene00003060
	A0A0K3AUC6	WBGene00003060
	A0A0K3AWP8	WBGene00003060
	Q9N4L8	WBGene00003061
	O44991	WBGene00003062
Q95Y89		WBGene00003063
	Q21915	WBGene00003064
	Q22641	WBGene00003065
	D5MCR9	WBGene00003065
	A0A1N7SYX2	WBGene00003066
Q9TZM3		WBGene00003068
Q04833		WBGene00003071
	O01768	WBGene00003072
Q09996		WBGene00003073
	Q23511	WBGene00003074
	B3WFV4	WBGene00003074
	Q22179	WBGene00003075
	Q20229	WBGene00003076
	Q9U1W8	WBGene00003077
	A0A061AIX6	WBGene00003077
Q19952		WBGene00003078
	O18694	WBGene00003079
	Q95XN6	WBGene00003080
	Q23543	WBGene00003081
	Q95XD4	WBGene00003082
	P91820	WBGene00003083
	Q564V2	WBGene00003083
Q9TZD0		WBGene00003084
	A0A0S4XR43	WBGene00003085
	G5EBS4	WBGene00003085
	H2KMJ3	WBGene00003085
	A0A0S4XRD3	WBGene00003085
Q8I4E2		WBGene00003086
	N1NVC3	WBGene00003086
	A0A061AD14	WBGene00003086
	Q9N5S3	WBGene00003087
	Q4ZG90	WBGene00003087
	G5EF51	WBGene00003089
	A0A131MD24	WBGene00003089
O62415		WBGene00003090
O62416		WBGene00003091
Q9XXS1		WBGene00003092
	Q20964	WBGene00003093
Q20967		WBGene00003094
	Q20968	WBGene00003095
O16202		WBGene00003096
	Q09975	WBGene00003097
	O02233	WBGene00003098
	O61518	WBGene00003099
O18214		WBGene00003100
P10038		WBGene00003102
Q95Q39		WBGene00003104
P90971		WBGene00003106
	Q22002	WBGene00003107
Q95XP4		WBGene00003111
	W6RTP3	WBGene00003111
	W6SBL1	WBGene00003111
Q20054		WBGene00003112
